,title,price,url,item_id,bid_count,location,condition,start_time,date,sold_amount,date_sold,rating
197,1985-86 Michael Jordan Rookie Schedule BGS 7.5 Near MINT + Rare Rookie!!,123.0,https://www.ebay.com/itm/1985-86-Michael-Jordan-Rookie-Schedule-BGS-7-5-Near-MINT-Rare-Rookie-/146322388778,146322388778,,"Waconia,MN,USA",Graded,2025-01-09,2025-01-09,123.0,Active,7
198,1986 FLEER STICKER #8 MICHAEL JORDAN ROOKIE RC PSA 5,525.0,https://www.ebay.com/itm/1986-FLEER-STICKER-8-MICHAEL-JORDAN-ROOKIE-RC-PSA-5-/306023273739,306023273739,,"New Castle,DE,USA",Graded,2025-01-08,2025-01-09,525.0,Active,5
199,1986 Fleer Michael Jordan Rookie RC #57 PSA 8,8000.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-Rookie-RC-57-PSA-8-/286154524756,286154524756,,"Flagstaff,AZ,USA",Graded,2024-11-09,2025-01-09,8000.0,Active,8
200,1986-87 Fleer - #57 Michael Jordan (RC) PSA 6,5000.0,https://www.ebay.com/itm/1986-87-Fleer-57-Michael-Jordan-RC-PSA-6-/365007545205,365007545205,,"Schererville,IN,USA",Graded,2024-07-13,2025-01-09,5000.0,Active,6
201,1986-87 Fleer Sticker MICHAEL JORDAN #8 Rookie RC On-Card Auto PSA 6 EX-MT POP 5,42995.0,https://www.ebay.com/itm/1986-87-Fleer-Sticker-MICHAEL-JORDAN-8-Rookie-RC-On-Card-Auto-PSA-6-EX-MT-POP-5-/276803065495,276803065495,,"Westmont,IL,USA",Graded,2025-01-03,2025-01-09,42995.0,Active,6
202,1986 FLEER #57 MICHAEL JORDAN PSA 4 VG-EX BULLS RC ROOKIE CARD CENTERED 🔥,4999.0,https://www.ebay.com/itm/1986-FLEER-57-MICHAEL-JORDAN-PSA-4-VG-EX-BULLS-RC-ROOKIE-CARD-CENTERED-/135424025595,135424025595,,"Fort Wayne,IN,USA",Graded,2024-12-06,2025-01-09,4999.0,Active,4
203,1986 Fleer Basketball Sticker #8 Michael Jordan Rookie Card PSA 7 Nr MINT,949.99,https://www.ebay.com/itm/1986-Fleer-Basketball-Sticker-8-Michael-Jordan-Rookie-Card-PSA-7-Nr-MINT-/375907087148,375907087148,,"Windsor,CO,USA",Graded,2025-01-06,2025-01-09,949.99,Active,7
205,1986 FLEER #57 MICHAEL JORDAN ROOKIE RC PSA 9,21500.0,https://www.ebay.com/itm/1986-FLEER-57-MICHAEL-JORDAN-ROOKIE-RC-PSA-9-/305975271024,305975271024,,"New Castle,DE,USA",Graded,2024-12-14,2025-01-09,21500.0,Active,9
209,1986 Fleer Michael Jordan Rookie Card PSA 8 (LOOKS BETTER),10750.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-Rookie-Card-PSA-8-LOOKS-BETTER-/226251538747,226251538747,,"Wayne,NJ,USA",Graded,2024-07-19,2025-01-09,10750.0,Active,8
210,1986 Fleer Rookie MICHAEL JORDAN #57 PSA 8,14999.0,https://www.ebay.com/itm/1986-Fleer-Rookie-MICHAEL-JORDAN-57-PSA-8-/196926615797,196926615797,,Australia,Graded,2025-01-03,2025-01-09,14999.0,Active,8
